"torus","RMNJ"
"01411","R04-M0-N00-J08"
"01420","R04-M0-N02-J15"
"01421","R04-M0-N02-J08"
"01430","R04-M0-N02-J03"
"01431","R04-M0-N02-J04"
"01440","R04-M1-N00-J03"
"01441","R04-M1-N00-J04"
"01450","R04-M1-N00-J15"
"01451","R04-M1-N00-J08"
"01460","R04-M1-N02-J15"
"01461","R04-M1-N02-J08"
"01470","R04-M1-N02-J03"
"01471","R04-M1-N02-J04"
"01480","R05-M1-N00-J03"
"01481","R05-M1-N00-J04"
"01490","R05-M1-N00-J15"
"01491","R05-M1-N00-J08"
"014A0","R05-M1-N02-J15"
"014A1","R05-M1-N02-J08"
"014B0","R05-M1-N02-J03"
"014B1","R05-M1-N02-J04"
"014C0","R05-M0-N00-J03"
"014C1","R05-M0-N00-J04"
"014D0","R05-M0-N00-J15"
"014D1","R05-M0-N00-J08"
"014E0","R05-M0-N02-J15"
"014E1","R05-M0-N02-J08"
"014F0","R05-M0-N02-J03"
"014F1","R05-M0-N02-J04"
"01500","R04-M0-N00-J02"
"01501","R04-M0-N00-J05"
"01510","R04-M0-N00-J14"
"01511","R04-M0-N00-J09"
"01520","R04-M0-N02-J14"
"01521","R04-M0-N02-J09"
"01530","R04-M0-N02-J02"
"01531","R04-M0-N02-J05"
"01540","R04-M1-N00-J02"
"01541","R04-M1-N00-J05"
"01550","R04-M1-N00-J14"
"01551","R04-M1-N00-J09"
"01560","R04-M1-N02-J14"
"01561","R04-M1-N02-J09"
"01570","R04-M1-N02-J02"
"01571","R04-M1-N02-J05"
"01580","R05-M1-N00-J02"
"01581","R05-M1-N00-J05"
"01590","R05-M1-N00-J14"
"01591","R05-M1-N00-J09"
"015A0","R05-M1-N02-J14"
"015A1","R05-M1-N02-J09"
"015B0","R05-M1-N02-J02"
"015B1","R05-M1-N02-J05"
"015C0","R05-M0-N00-J02"
"015C1","R05-M0-N00-J05"
"015D0","R05-M0-N00-J14"
"015D1","R05-M0-N00-J09"
"015E0","R05-M0-N02-J14"
"015E1","R05-M0-N02-J09"
"015F0","R05-M0-N02-J02"
"015F1","R05-M0-N02-J05"
"01600","R04-M0-N01-J02"
"01601","R04-M0-N01-J05"
"01610","R04-M0-N01-J14"
"01611","R04-M0-N01-J09"
"01620","R04-M0-N03-J14"
"01621","R04-M0-N03-J09"
"01630","R04-M0-N03-J02"
"01631","R04-M0-N03-J05"
"01640","R04-M1-N01-J02"
"01641","R04-M1-N01-J05"
"01650","R04-M1-N01-J14"
"01651","R04-M1-N01-J09"
"01660","R04-M1-N03-J14"
"01661","R04-M1-N03-J09"
"01670","R04-M1-N03-J02"
"01671","R04-M1-N03-J05"
"01680","R05-M1-N01-J02"
"01681","R05-M1-N01-J05"
"01690","R05-M1-N01-J14"
"01691","R05-M1-N01-J09"
"016A0","R05-M1-N03-J14"
"016A1","R05-M1-N03-J09"
"016B0","R05-M1-N03-J02"
"016B1","R05-M1-N03-J05"
"016C0","R05-M0-N01-J02"
"016C1","R05-M0-N01-J05"
"016D0","R05-M0-N01-J14"
"016D1","R05-M0-N01-J09"
"016E0","R05-M0-N03-J14"
"016E1","R05-M0-N03-J09"
"016F0","R05-M0-N03-J02"
"016F1","R05-M0-N03-J05"
"01700","R04-M0-N01-J03"
"01701","R04-M0-N01-J04"
"01710","R04-M0-N01-J15"
"01711","R04-M0-N01-J08"
"01720","R04-M0-N03-J15"
"01721","R04-M0-N03-J08"
"01730","R04-M0-N03-J03"
"01731","R04-M0-N03-J04"
"01740","R04-M1-N01-J03"
"01741","R04-M1-N01-J04"
"01750","R04-M1-N01-J15"
"01751","R04-M1-N01-J08"
"01760","R04-M1-N03-J15"
"01761","R04-M1-N03-J08"
"01770","R04-M1-N03-J03"
"01771","R04-M1-N03-J04"
"01780","R05-M1-N01-J03"
"01781","R05-M1-N01-J04"
"01790","R05-M1-N01-J15"
"01791","R05-M1-N01-J08"
"017A0","R05-M1-N03-J15"
"017A1","R05-M1-N03-J08"
"017B0","R05-M1-N03-J03"
"017B1","R05-M1-N03-J04"
"017C0","R05-M0-N01-J03"
"017C1","R05-M0-N01-J04"
"017D0","R05-M0-N01-J15"
"017D1","R05-M0-N01-J08"
"017E0","R05-M0-N03-J15"
"017E1","R05-M0-N03-J08"
"017F0","R05-M0-N03-J03"
"017F1","R05-M0-N03-J04"
"01800","R06-M0-N00-J03"
"01801","R06-M0-N00-J04"
"01810","R06-M0-N00-J15"
"01811","R06-M0-N00-J08"
"01820","R06-M0-N02-J15"
"01821","R06-M0-N02-J08"
"01830","R06-M0-N02-J03"
"01831","R06-M0-N02-J04"
"01840","R06-M1-N00-J03"
"01841","R06-M1-N00-J04"
